ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,845468666.043043,1269996,1000000
2048,783359760.937573,1370688,1000000
3072,764561363.800352,1053292,1000000
4096,755612386.015136,1421022,1000000
6144,746795673.756826,1078349,1000000
9216,740841774.081077,1630523,1000000
13312,737489344.039873,1182953,1000000
19456,735128805.528794,1734483,1000000
27648,733423082.714436,1235262,1000000
39936,732029126.262471,1787665,1000000
58368,731305069.192086,1307664,1000000
83968,730830271.410836,1882423,1000000
121856,730380298.899722,1366746,1000000
176128,730047256.429224,1976366,1000000
253952,729893063.265416,1425123,1000000
366592,729584526.340749,1029052,1000000
529408,728997861.203468,1487285,1000000
763904,729427168.966803,1072400,1000000
1102848,729447707.630896,1548180,1000000
1593344,729415476.668404,1118419,1000000
2300928,729355772.284639,1615227,1000000
3322880,729382801.581109,1166270,1000000
4798464,729287081.288582,1684394,1000000
6929408,729232058.893414,1216299,1000000
10007552,729376031.886121,1756250,1000000
14451712,729423374.271787,1268001,1000000
20869120,729376305.847686,1831186,1000000
30137344,726956481.886298,1326620,1000000
43522048,725918711.187975,1918542,1000000
62851072,725918555.002046,1385303,1000000
90763264,725916647.754936,1000261,1000000
131072000,726280370.310342,1443762,1000000
