ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,6605941.766717,1269858,1000000
2048,3059965.579706,1370703,1000000
3072,1991576.536238,1053011,1000000
4096,1475939.426825,1420893,1000000
6144,972458.737259,1078273,1000000
9216,643273.691430,1630062,1000000
13312,440722.960233,1189609,1000000
19456,302302.986831,1734313,1000000
27648,212257.707726,1235027,1000000
39936,146658.334485,1787447,1000000
58368,100242.668141,1307547,1000000
83968,69637.954045,1882192,1000000
121856,47964.073785,1366356,1000000
176128,33172.723817,1975599,1000000
253952,22992.135045,1425183,1000000
366592,15919.918457,1029151,1000000
529408,11023.539401,1486274,1000000
763904,7639.923825,1072262,1000000
1102848,5291.760628,1548067,1000000
1593344,3662.486163,1118366,1000000
2300928,2536.224481,1614999,1000000
3322880,1755.652292,1166518,1000000
4798464,1216.082694,1684096,1000000
6929408,842.122577,1215975,1000000
10007552,582.961581,1756548,1000000
14451712,403.811921,1267917,1000000
20869120,279.623273,1831035,1000000
30137344,192.951541,1326758,1000000
43522048,133.451772,1918296,1000000
62851072,92.406763,1385180,1000000
90763264,63.984260,1000246,1000000
131072000,44.308197,1444428,1000000
ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,1650756238.906795,1300909,1000000
2048,1566781247.218441,1370634,1000000
3072,1529041433.600292,1053348,1000000
4096,1510952570.855244,1421278,1000000
6144,1493648137.637855,1078308,1000000
9216,1478306293.781605,1634248,1000000
13312,1474478866.002904,1183354,1000000
19456,1470350012.165773,1734374,1000000
27648,1466643134.836126,1235433,1000000
39936,1464457203.479452,1787178,1000000
58368,1462793593.881453,1307500,1000000
83968,1461879542.499738,1882141,1000000
121856,1461128353.149366,1366402,1000000
176128,1460461038.428642,1975870,1000000
253952,1459831198.130069,1425079,1000000
366592,1459184650.563000,1029041,1000000
529408,1458995339.999704,1486266,1000000
763904,1458329426.372082,1072786,1000000
1102848,1458385793.180308,1548721,1000000
1593344,1458418889.191810,1118735,1000000
2300928,1458818118.157970,1615109,1000000
3322880,1458779362.045652,1166259,1000000
4798464,1458859976.817983,1684064,1000000
6929408,1458867126.713560,1215963,1000000
10007552,1458904911.318823,1756066,1000000
14451712,1458913481.126518,1267943,1000000
20869120,1458834667.789500,1831083,1000000
30137344,1451936363.786918,1328426,1000000
43522048,1451377470.234218,1919150,1000000
62851072,1451181340.458277,1385929,1000000
90763264,1451213788.913228,1000688,1000000
131072000,1452070937.906137,1444249,1000000
