ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,201.594804,1269874,1000000
2048,373.490355,1370852,1000000
3072,728.732262,1053885,1000000
6144,1415.519475,1085114,1000000
11264,1409.421401,1997983,1000000
19456,2804.563874,1734316,1000000
34816,5589.132015,1557308,1000000
62464,11158.510007,1399470,1000000
112640,22297.726915,1262909,1000000
203776,44554.641619,1143405,1000000
366592,89068.314410,1028963,1000000
659456,89053.963686,1851282,1000000
1187840,178081.723536,1667549,1000000
2138112,356174.387705,1500748,1000000
3849216,712343.937144,1350898,1000000
6929408,1424699.533366,1215942,1000000
12475392,2849441.823878,1094547,1000000
22461440,2841112.794813,1976465,1000000
40437760,5653979.649020,1788022,1000000
72803328,11288793.841314,1612292,1000000
131072000,22575313.624486,1451497,1000000
