ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,621,1700860.000000,1000000
1418240,536,1330039.000000,1000000
1916928,514,1885508.000000,1000000
2592768,544,1203722.000000,1000000
3506176,554,1604387.000000,1000000
4741120,608,1977372.000000,1000000
6411264,529,1539719.000000,1000000
8669184,606,1818866.000000,1000000
11723776,550,1355440.000000,1000000
15852544,667,1513555.000000,1000000
21437440,659,1036431.000000,1000000
28988416,478,1933365.000000,1000000
39199744,587,1064335.000000,1000000
53007360,464,1823491.000000,1000000
71680000,462,1236760.000000,1000000
96928768,571,1353990.000000,1000000
131072000,450,1162911.000000,1000000
177242112,497,1422841.000000,1000000
239675392,449,1065452.000000,1000000
324101120,464,1394771.000000,1000000
438265856,488,1792086.000000,1000000
592644096,445,1329542.000000,1000000
801403904,568,1408754.000000,1000000
1083697152,567,1906729.000000,1000000
1465430016,444,1648745.000000,1000000
1981626368,457,1082555.000000,1000000
2679653376,573,1168179.000000,1000000
3623561216,490,1847190.000000,1000000
604991488,571,1057291.000000,1000000
2331000832,446,1305586.000000,1000000
370027520,489,1511134.000000,1000000
3526171648,164,5368900.000000,1000000
3499098112,458,1908523.000000,1000000
