ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,899,1175580.000000,1000000
1418240,817,1744312.000000,1000000
1916928,934,1036850.000000,1000000
2592768,1095,1196538.000000,1000000
3506176,1492,1191567.000000,1000000
4741120,941,1278376.000000,1000000
6411264,862,1890247.000000,1000000
8669184,1206,1829518.000000,1000000
11723776,1396,1069433.000000,1000000
15852544,1292,1561910.000000,1000000
21437440,1046,1304987.000000,1000000
28988416,1203,1536660.000000,1000000
39199744,1033,1210081.000000,1000000
53007360,1377,1228843.000000,1000000
71680000,1255,1821993.000000,1000000
96928768,1246,1241857.000000,1000000
131072000,1186,1764277.000000,1000000
177242112,1439,1967666.000000,1000000
239675392,949,2017010.000000,1000000
324101120,1332,1943026.000000,1000000
438265856,1146,1527230.000000,1000000
592644096,1184,1000255.000000,1000000
801403904,1208,1325142.000000,1000000
1083697152,1130,1916659.000000,1000000
1465430016,1198,1222324.000000,1000000
1981626368,1527,1296743.000000,1000000
2679653376,1225,1092472.000000,1000000
3623561216,1239,1460730.000000,1000000
604991488,1089,1110002.000000,1000000
2331000832,1214,1918386.000000,1000000
370027520,810,1824103.000000,1000000
3526171648,1291,1364310.000000,1000000
3499098112,161,2707027.000000,1000000
