ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,174,1510834.000000,1000000
1418240,193,1846538.000000,1000000
1916928,228,1062043.000000,1000000
2592768,268,1219761.000000,1000000
3506176,305,1453460.000000,1000000
4741120,363,1652921.000000,1000000
6411264,409,1992978.000000,1000000
8669184,508,1085542.000000,1000000
11723776,589,1267135.000000,1000000
15852544,622,1623320.000000,1000000
21437440,725,1884116.000000,1000000
28988416,836,1106157.000000,1000000
39199744,865,1444650.000000,1000000
53007360,992,1705109.000000,1000000
71680000,585,1953206.000000,1000000
96928768,655,1180012.000000,1000000
131072000,790,1324330.000000,1000000
177242112,906,1561354.000000,1000000
239675392,1007,1901548.000000,1000000
324101120,797,1623224.000000,1000000
438265856,923,1895983.000000,1000000
592644096,1022,1157942.000000,1000000
801403904,917,1745928.000000,1000000
1083697152,813,1331326.000000,1000000
1465430016,958,1528906.000000,1000000
1981626368,980,1009760.000000,1000000
2679653376,817,1637763.000000,1000000
3623561216,822,1100676.000000,1000000
604991488,762,1585155.000000,1000000
2331000832,1001,1163097.000000,1000000
370027520,852,1733968.000000,1000000
3526171648,774,1137414.000000,1000000
3499098112,793,1102644.000000,1000000
