ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,456,1158885.000000,1000000
1418240,417,1708533.000000,1000000
1916928,477,1014500.000000,1000000
2592768,560,1168241.000000,1000000
3506176,770,1154281.000000,1000000
4741120,950,1266574.000000,1000000
6411264,869,1875102.000000,1000000
8669184,1262,1747341.000000,1000000
11723776,1465,1019101.000000,1000000
15852544,1304,1547982.000000,1000000
21437440,777,1755960.000000,1000000
28988416,866,1066976.000000,1000000
39199744,973,1284489.000000,1000000
53007360,1251,1351732.000000,1000000
71680000,1007,1135173.000000,1000000
96928768,1034,1496692.000000,1000000
131072000,1183,1769204.000000,1000000
177242112,1273,1111871.000000,1000000
239675392,1204,1589835.000000,1000000
324101120,1268,1020480.000000,1000000
438265856,1116,1568409.000000,1000000
592644096,1266,1869944.000000,1000000
801403904,1276,1254878.000000,1000000
1083697152,1145,1890634.000000,1000000
1465430016,1199,1220996.000000,1000000
1981626368,1552,1275699.000000,1000000
2679653376,1265,1058421.000000,1000000
3623561216,1280,1414490.000000,1000000
604991488,1093,1105966.000000,1000000
2331000832,1266,1839388.000000,1000000
370027520,1213,1218348.000000,1000000
3526171648,1275,1381556.000000,1000000
3499098112,1394,1253874.000000,1000000
