ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,1176,1797162.000000,1000000
1418240,1116,1277202.000000,1000000
1916928,1116,1736005.000000,1000000
2592768,1146,1142858.000000,1000000
3506176,1062,1674235.000000,1000000
4741120,1123,1070623.000000,1000000
6411264,1136,1435018.000000,1000000
8669184,1119,1971037.000000,1000000
11723776,1053,1418091.000000,1000000
15852544,968,1042312.000000,1000000
21437440,848,1609091.000000,1000000
28988416,709,1303989.000000,1000000
39199744,601,1039745.000000,1000000
53007360,573,1475509.000000,1000000
71680000,570,1003438.000000,1000000
96928768,552,1400972.000000,1000000
131072000,565,1851576.000000,1000000
177242112,565,1251951.000000,1000000
239675392,576,1661853.000000,1000000
324101120,558,1158833.000000,1000000
438265856,565,1549018.000000,1000000
592644096,543,1089015.000000,1000000
801403904,546,1466758.000000,1000000
1083697152,503,1075437.000000,1000000
1465430016,486,1504973.000000,1000000
1981626368,480,1030735.000000,1000000
2679653376,481,1391260.000000,1000000
3623561216,482,1876518.000000,1000000
604991488,539,1121078.000000,1000000
2331000832,478,1216923.000000,1000000
370027520,563,1311979.000000,1000000
3526171648,465,1892055.000000,1000000
3499098112,474,1841073.000000,1000000
