ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,40039,216268762.000000,180000000
1418240,48353,241559776.000000,180000000
1916928,69542,228390986.000000,180000000
2592768,92871,231231880.000000,180000000
3506176,126191,230968101.000000,180000000
4741120,170045,231868926.000000,180000000
6411264,208657,256114615.000000,180000000
8669184,307539,235126195.000000,180000000
11723776,424783,230439903.000000,180000000
15852544,503782,262703328.000000,180000000
21437440,689274,259765769.000000,180000000
28988416,974128,248881279.000000,180000000
39199744,1136764,288441194.000000,180000000
53007360,1810305,245044977.000000,180000000
71680000,601550,249280281.000000,180000000
96928768,732834,276860555.000000,180000000
131072000,1069944,256519675.000000,180000000
177242112,1368002,271335989.000000,180000000
239675392,1780672,281928312.000000,180000000
324101120,906195,187286780.000000,180000000
438265856,1144712,200522422.000000,180000000
592644096,1582917,196159811.000000,180000000
801403904,1214215,345817401.000000,180000000
1083697152,1027707,276231669.000000,180000000
1465430016,1409533,272412437.000000,180000000
1981626368,1326258,195740130.000000,180000000
2679653376,1305151,269011267.000000,180000000
3623561216,1354352,350588686.000000,180000000
604991488,893268,354841528.000000,180000000
2331000832,1554609,196462251.000000,180000000
370027520,1004933,192886043.000000,180000000
3526171648,1265826,182502692.000000,180000000
3499098112,1314458,348806399.000000,180000000
