ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,162569,213058250.000000,180000000
1418240,95302,245119663.000000,180000000
1916928,139551,227626423.000000,180000000
2592768,186925,229769038.000000,180000000
3506176,254723,228845613.000000,180000000
4741120,106822,184550470.000000,180000000
6411264,131272,203546949.000000,180000000
8669184,197285,183263698.000000,180000000
11723776,197158,248245022.000000,180000000
15852544,237643,278453037.000000,180000000
21437440,167334,267502934.000000,180000000
28988416,177014,342404345.000000,180000000
39199744,133304,307463870.000000,180000000
53007360,158938,348882427.000000,180000000
71680000,154469,242692423.000000,180000000
96928768,182728,277588075.000000,180000000
131072000,175032,196007224.000000,180000000
177242112,187156,247913081.000000,180000000
239675392,180591,347484253.000000,180000000
324101120,192611,220285651.000000,180000000
438265856,181498,316174921.000000,180000000
592644096,197845,196179261.000000,180000000
801403904,195105,269019183.000000,180000000
1083697152,181535,195474681.000000,180000000
1465430016,191820,250216815.000000,180000000
1981626368,166964,194353793.000000,180000000
2679653376,136940,320485984.000000,180000000
3623561216,111023,267296462.000000,180000000
604991488,171925,230454860.000000,180000000
2331000832,155262,245892356.000000,180000000
370027520,187130,258960694.000000,180000000
3526171648,116593,247672669.000000,180000000
3499098112,116497,245977366.000000,180000000
