ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,72120,240129840.000000,180000000
1418240,52557,222239252.000000,180000000
1916928,55276,287331205.000000,180000000
2592768,56561,189837524.000000,180000000
3506176,56661,257193707.000000,180000000
4741120,56628,348130165.000000,180000000
6411264,59205,225655123.000000,180000000
8669184,49410,182934245.000000,180000000

15852544,45079,183489026.000000,180000000
21437440,43910,254849470.000000,180000000
28988416,49030,309042796.000000,180000000
39199744,46261,221489835.000000,180000000
53007360,47632,291036150.000000,180000000
71680000,47122,198888290.000000,180000000
96928768,48005,264154961.000000,180000000
131072000,49359,347530893.000000,180000000
177242112,49791,232962297.000000,180000000
239675392,49351,317887867.000000,180000000
324101120,49062,216203536.000000,180000000
438265856,46443,308894472.000000,180000000
592644096,38927,249264811.000000,180000000
801403904,31385,209043040.000000,180000000
1083697152,24417,181663154.000000,180000000
1465430016,22742,263800041.000000,180000000
1981626368,22130,183287047.000000,180000000
2679653376,21909,250393614.000000,180000000
3623561216,20445,181432579.000000,180000000
604991488,37092,267045855.000000,180000000
2331000832,22057,216353252.000000,180000000
370027520,48283,250910861.000000,180000000
3526171648,21048,342983200.000000,180000000
3499098112,21218,337623555.000000,180000000
