ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1048576,831,1271464.000000,1000000
1359872,1217,1123600.000000,1000000
1763328,1566,1132108.000000,1000000
2286592,2062,1122854.000000,1000000
2965504,2638,1137503.000000,1000000
3846144,3210,1215479.000000,1000000
4987904,4100,1235186.000000,1000000
6468608,5672,1157238.000000,1000000
8388608,7669,1113576.000000,1000000
10878976,5483,1009407.000000,1000000
14107648,8532,1685903.000000,1000000
18295808,3494,1334583.000000,1000000
23726080,4704,1285163.000000,1000000
30769152,6402,1225458.000000,1000000
39903232,6256,1628205.000000,1000000
51747840,5107,1293314.000000,1000000
67108864,2136,1003156.000000,1000000
87029760,1276,1088563.000000,1000000
112863232,1502,1198971.000000,1000000
146365440,1830,1277404.000000,1000000
189812736,1196,1267169.000000,1000000
246156288,1439,1366325.000000,1000000
319225856,1188,1072762.000000,1000000
413983744,1262,1310278.000000,1000000
536870912,15704,1092932.000000,1000000
696235008,4742,1173621.000000,1000000
902905856,3318,1087829.000000,1000000
1170923520,3269,1431554.000000,1000000
1518499840,2607,1163917.000000,1000000
1969251328,21431,1469633.000000,1000000
2553802752,6866,1486984.000000,1000000
3311873024,4360,1518698.000000,1000000
