ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,Thread
4096000000,543,7540744.000000,5000000,1
4096000000,996,8219918.000000,5000000,2
4096000000,1376,5948391.000000,5000000,3
4096000000,1749,9364989.000000,5000000,4
4096000000,1950,8399473.000000,5000000,5
4096000000,2035,8045642.000000,5000000,6
4096000000,2098,7804125.000000,5000000,7
4096000000,2124,7711053.000000,5000000,8
4096000000,2102,7792382.000000,5000000,9
4096000000,2128,7694484.000000,5000000,10
4096000000,2159,7586400.000000,5000000,11
4096000000,2271,7211738.000000,5000000,12
4096000000,2315,7072867.000000,5000000,13
4096000000,2382,6874753.000000,5000000,14
4096000000,2350,6968353.000000,5000000,15
4096000000,2471,6627360.000000,5000000,16
4096000000,1605,5100398.000000,5000000,17
4096000000,1586,5162230.000000,5000000,18
4096000000,1563,5238283.000000,5000000,19
4096000000,1593,5140747.000000,5000000,20
