ArraySize,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,Thread
4096000000,580,1763257.000000,1000000,1
4096000000,1003,1020305.000000,1000000,2
4096000000,766,1336362.000000,1000000,3
4096000000,770,2657369.000000,1000000,4
4096000000,1205,1698161.000000,1000000,5
4096000000,1277,1602453.000000,1000000,6
4096000000,1287,1589771.000000,1000000,7
4096000000,948,1079096.000000,1000000,8
4096000000,913,1120659.000000,1000000,9
4096000000,851,1202693.000000,1000000,10
4096000000,478,1070561.000000,1000000,11
4096000000,446,1146675.000000,1000000,12
4096000000,416,1228288.000000,1000000,13
